group,latin_name,species,support,mode,submode,description,tooling_or_IOU,frame_of_reference,number_relations,temporal_order,1_dynamic_relation,2_dynamic_relation,manufacture,steps_manufacture,associative,type_associative,reference,total_references,page,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amphibians,Ceratophrys spp.,Horned frogs,,affix,dig_selfhide,bury selves with dirt,IOU,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Accipitridae sp.,Eagle,,drop,drop_threat,drop sticks at intruders,IOU,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Alectura lathami,Australian brush turkey,,drag,kick_threat,kick debris at predators/intruders,IOU,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Amazona aestiva,Blue-fronted Amazon parrot,anecdotal,scratch,scratch_autogroom,scratch self with stick,tooling,egocentric,1,stick to body,dynamic,,no,,no,,Boswall 1977,1,,Report of Blanden's observation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Amazona ochrocephala,Yellow-crowned amazon,anecdotal,contain,scoop_access, scoop seeds/water to eat/drink with toy,tooling,egocentric,1,toy to seed,dynamic,,no,,no,,Boswall 1983,1,49,Seen in only one captive animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Amazona sp.,Amazon parrot,anecdotal,scratch,scratch_autogroom,scratch self with spoon,tooling,egocentric,1,stick to body,dynamic,,no,,no,,Boswall 1983,1,48,Seen in only one captive animal. Pers comm. by G. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Anodorhynchus hyacinthinus,Hyacinth macaw,,affix,place_wedge,place objects in beak to prevent slipping during extraction,IOU,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Aquila audax,Wedge-tailed eagle,,drop,drop_threat,drop objects on caretakers,IOU,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Ara ararauna,Blue-and-yellow macaw,anecdotal,scratch,scratch_autogroom,scratch self with bone,tooling,egocentric,1,stick to body,dynamic,,no,,no,,Boswall 1983,1,48,Seen in only one captive animal. Pers comm. by B. Hoad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Ardea goliath,Goliath heron,,bait,bait_hunt,place debris on water as  bait for fish,IOU,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Ardeola ralloides,Squacco heron,,bait,bait_hunt,place food on water as  bait for fish,IOU,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Athene cunicularia,Burrowing owl,,bait,bait_hunt,place dung near nest (to attract dung beetles as prey and/or signal occupation),IOU,,,,,,,,,,,,40-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Avian spp.,Birds,,bait,bait_courtship,present gifts during courtship,IOU,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Bradornis microrhynchus,African grey flycatcher,anecdotal,probe,fish_access,probe holes with stems for termites,tooling,allocentric,1,stem to hole,dynamic,,no,,no,,Boswall 1983,1,47,Seen in only one animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Buteo regalis,Ferruginous hawk,,drop,drop_threat,drop stones at intruders,IOU,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Butorides striata,Striated heron,,bait,bait_hunt,place food/debris on water as  bait for fish,IOU,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
