row,studyID,authors,year,title,journal,species,n,female,dropout,age,site,attempt_replication,successful_replication,species_comparison
17,119,"Bohn, Call, Tomasello",2015,Communication about absent entities in great apes and human infants,Cognition,orangutan,6,4,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
18,119,"Bohn, Call, Tomasello",2015,Communication about absent entities in great apes and human infants,Cognition,Western gorilla,4,3,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
19,119,"Bohn, Call, Tomasello",2015,Communication about absent entities in great apes and human infants,Cognition,bonobo,7,5,1,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
20,119,"Bohn, Call, Tomasello",2015,Communication about absent entities in great apes and human infants,Cognition,chimpanzee,19,13,2,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
21,289,"Bohn, Allritz, Call, Völter",2017,Information seeking about tool properties in great apes,Scientific Reports,orangutan,7,5,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,no
22,289,"Bohn, Allritz, Call, Völter",2017,Information seeking about tool properties in great apes,Scientific Reports,chimpanzee,7,3,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,no
23,521,"Bohn, Call, Tomasello",2016,The role of past interactions in great apes' communication about absent entities,Journal of Comparative Psychology,orangutan,6,4,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
24,521,"Bohn, Call, Tomasello",2016,The role of past interactions in great apes' communication about absent entities,Journal of Comparative Psychology,Western gorilla,4,3,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
25,521,"Bohn, Call, Tomasello",2016,The role of past interactions in great apes' communication about absent entities,Journal of Comparative Psychology,bonobo,7,5,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
26,521,"Bohn, Call, Tomasello",2016,The role of past interactions in great apes' communication about absent entities,Journal of Comparative Psychology,chimpanzee,18,12,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
27,127,"Bohn, Call, Tomasello",2016,Comprehension of iconic gestures by chimpanzees and human children,Journal of Experimental Child Psychology,chimpanzee,11,6,4,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
28,365,"Bohn, Call, Tomasello",2019,Natural reference: A phylo- and ontogenetic perspective on the comprehension of iconic gestures and vocalizations,Developmental Science,chimpanzee,4,3,2,mixed,Wolfgang Köhler Primate Research Center,yes,yes,no
29,365,"Bohn, Call, Tomasello",2019,Natural reference: A phylo- and ontogenetic perspective on the comprehension of iconic gestures and vocalizations,Developmental Science,bonobo,5,4,0,mixed,Wolfgang Köhler Primate Research Center,yes,yes,no
30,365,"Bohn, Call, Tomasello",2019,Natural reference: A phylo- and ontogenetic perspective on the comprehension of iconic gestures and vocalizations,Developmental Science,orangutan,4,3,0,mixed,Wolfgang Köhler Primate Research Center,yes,yes,no
31,222,"Micheletta, Whitehouse, Parr, Marshman, Engelhardt, Waller",2015,Familiar and unfamiliar face recognition in crested macaques (Macaca nigra),Royal Society Open Science,Celebes crested macaque,3,2,0,adult,Marwell Zoo,no,NA,no
32,220,"Micheletta, Whitehouse, Parr, Waller",2015,Facial expression recognition in crested macaques (Macaca nigra).,Animal Cognition,Celebes crested macaque,3,2,0,adult,Marwell Zoo,no,NA,no
33,336,"Waller, Whitehouse, Micheletta",2016,Macaques can predict social outcomes from facial expressions,Animal Cognition,Celebes crested macaque,3,2,2,adult,Marwell Zoo,no,NA,no
34,57,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,Southern white-cheeked gibbon,1,1,0,mixed,Mulhouse Zoo,no,NA,yes
35,57,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,Northern white-cheeked gibbon,2,1,1,mixed,Mulhouse Zoo,no,NA,yes
36,57,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,Northern white-cheeked gibbon,2,1,1,mixed,Duisburg Zoo,no,NA,yes
37,57,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,buff-cheeked gibbon,2,2,0,adult,Mulhouse Zoo,no,NA,yes
38,57,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,white-handed gibbon,1,0,1,adult,Tierpark Hamm,yes,no,yes
39,57,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,Mueller's gibbon,2,1,0,adult,Tierpark Hamm,no,NA,yes
40,57,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,siamang,1,0,0,adult,Duisburg Zoo,no,NA,yes
41,514,"Simpson, Murray, Paukner, Ferrari",2014,"The mirror neuron system as revealed through neonatal imitation: Preference from birth, predictive power, and evidence of plasticity",Philosophical Transactions of the Royal Society B,rhesus macaque,39,20,0,infant,Laboratory of Comparative Ethology,no,NA,no
42,291,"Simpson, Sclafani, Paukner, Hamel, Novak, Meyer, Suomi, Ferrari",2014,Inhaled oxytocin increases positive social behaviors in newborn macaques,PNAS,rhesus macaque,28,12,0,infant,Laboratory of Comparative Ethology,no,NA,no
43,370,"Paukner, Simpson, Ferrari, Mrozek, Suomi",2014,Neonatal imitation predicts how infants engage with faces,Developmental Science,rhesus macaque,37,13,0,infant,Laboratory of Comparative Ethology,no,NA,no
44,150,"Sclafani, Simpson, Suomi, Ferrari",2015,Development of space perception in relation to the maturation of the motor system in infant rhesus macaques (Macaca mulatta),Neuropsychologia,rhesus macaque,16,6,0,infant,Laboratory of Comparative Ethology,no,NA,no
45,186,"Vanderwert, Simpson, Paukner, Suomi, Fox, Ferrari",2015,Early social experience affects neural activity to affiliative facial gestures in newborn nonhuman primates,Developmental Neuroscience,rhesus macaque,85,44,0,infant,Laboratory of Comparative Ethology,no,NA,no
46,208,"Simpson, Nicolini, Shetler, Suomi, Ferrari, Paukner",2016,Experience-independent sex differences in newborn macaques: Females are more social than males,Scientific Reports,rhesus macaque,48,21,0,infant,Laboratory of Comparative Ethology,no,NA,no
47,369,"Simpson, Miller, Ferrari, Suomi, Paukner",2016,Neonatal imitation and early social experience predict gaze following abilities in infant macaques,Scientific Reports,rhesus macaque,119,51,0,infant,Laboratory of Comparative Ethology,no,NA,no
48,207,"Simpson, Suomi, Paukner",2016,Evolutionary relevance and experience contribute to face discrimination in infant macaques (Macaca mulatta),Journal of Cognition and Development,rhesus macaque,62,25,0,infant,Laboratory of Comparative Ethology,no,NA,no
49,368,"Dettmer, Kaburu, Simpson, Paukner, Sclafani, Byers, Murphy, Miller, Marquez, Suomi, Ferrari",2016,Neonatal face-to-face interactions shape later social behavior in infant rhesus monkeys,Nature Communications,rhesus macaque,58,27,0,infant,Laboratory of Comparative Ethology,no,NA,no
50,371,"Kaburu, Paukner, Simpson, Suomi, Ferrari",2016,Neonatal imitation predicts infant rhesus macaque (Macaca mulatta) social and anxiety-related behaviors at one year,Scientific Reports,rhesus macaque,126,63,0,infant,Laboratory of Comparative Ethology,no,NA,no
51,217,"Simpson, Jakobsen, Damon, Suomi, Ferrari, Paukner",2017,Face detection and the development of own-species bias in infant macaques,Child Development,rhesus macaque,10,6,0,infant,Laboratory of Comparative Ethology,no,NA,no
52,13,"Simpson, Paukner, Sclafani, Kaburu, Suomi, Ferrari",2017,Acute oxytocin improves memory and gaze following in male but not female nursery-reared infant macaques,Phychopharmacology,rhesus macaque,24,13,0,infant,Laboratory of Comparative Ethology,no,NA,no
53,403,"Damon, Meary, Quinn, Lee, Simpson, Paukner, Suomi, Pascalis",2017,Perception of facial averageness: Evidence for a common mechanism in human and macaque infants,Scientific Reports,rhesus macaque,26,14,0,infant,Laboratory of Comparative Ethology,no,NA,no
54,497,"Paukner, Pedersen, Simpson",2017,Testing the arousal hypothesis of neonatal imitation in infant rhesus macaques,PLOS ONE,rhesus macaque,163,75,0,infant,Laboratory of Comparative Ethology,no,NA,no
55,568,"Slonecker, Simpson, Suomi, Paukner",2018,Who's my little monkey? Effects of infant-directed speech on visual retention in infant rhesus macaques,Developmental Science,rhesus macaque,15,8,0,infant,Laboratory of Comparative Ethology,no,NA,no
56,188,"Festante, Vanderwert, Sclafani, Paukner, Simpson, Suomi, Fox, Ferrari",2018,EEG beta desynchronization during hand goal-directed action observation in newborn monkeys and its relation to the emergence of hand motor skills,Developmental Cognitive Neuroscience,rhesus macaque,56,20,0,infant,Laboratory of Comparative Ethology,no,NA,no
57,303,"Wooddell, Simpson, Murphy, Dettmer, Paukner",2019,Interindividual differences in neonatal sociality and emotionality predict juvenile social status in rhesus monkeys,Developmental Science,rhesus macaque,33,19,0,infant,Laboratory of Comparative Ethology,no,NA,no
58,277,"Sclafani, Paukner, Suomi, Ferrari",2015,Imitation promotes affiliation in infant macaques at risk for impaired social behaviors,Developmental Science,rhesus macaque,32,16,0,infant,Laboratory of Comparative Ethology,no,NA,no
59,259,"Simpson, Sclafani, Paukner, Kaburu, Suomi, Ferrari",2019,"Handling newborn monkeys alters later exploratory, cognitive, and social behaviors",Developmental Cognitive Neuroscience,rhesus macaque,48,21,0,infant,Laboratory of Comparative Ethology,no,NA,no
60,551,"Simpson, Paukner, Pedersen, Ferrari, Parr",2019,Visual preference for direct gaze faces in infant macaques (Macaca mulatta) with limited face exposure,Developmental Psychobiology,rhesus macaque,16,9,0,infant,Laboratory of Comparative Ethology,yes,yes,no
61,478,"Simpson, Maylott, Lazo, Leonard, Kaburu, Suomi, Paukner, Ferrari",2019,Social touch alters newborn moneky behavior,Infant Behavior and Development,rhesus macaque,27,16,0,infant,Laboratory of Comparative Ethology,no,NA,no
62,125,"Keupp, Titchener, Bugnyar, Mussweiler, Fischer",2019,Competition is crucial for social comparison processes in long-tailed macaques,Biology Letters,long-tailed macaque,10,5,0,mixed,German Primate Center,no,NA,no
63,29,"Keupp, Barbarroja Capdevila, Topolinski, Fischer",2018,Are monkeys intuitive Aristotelians? – Associations between target size and vertical target position in long-tailed macaques,Royal Society Open Science,long-tailed macaque,12,5,0,mixed,German Primate Center,no,NA,no
